,Concurso,Data Sorteio,Dezena1,Dezena2,Dezena3,Dezena4,Dezena5,Dezena6,Arrecadacao_Total,Ganhadores_Sena,Rateio_Sena,Ganhadores_Quina,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Acumulado,Valor_Acumulado,Estimativa_Prêmio
56,57,1997-04-06 00:00:00,27,17,16,34,7,59,0,0,0,79,10699.1,6173,136.65,SIM,2570421.8,0
57,58,1997-04-13 00:00:00,30,49,27,37,12,44,0,1,3631304.91,65,13601.07,5040,175.06,NÃO,0,0
58,59,1997-04-20 00:00:00,28,13,34,2,8,54,0,0,0,90,7312.34,5351,122.75,SIM,789733.42,0
59,60,1997-04-27 00:00:00,38,14,21,15,3,20,0,0,0,129,7111.47,7914,115.69,SIM,9478249.26,0
60,61,1997-05-04 00:00:00,59,8,18,29,42,44,0,0,0,52,18902.94,3866,253.76,SIM,10657792.45,0
61,62,1997-05-11 00:00:00,52,13,6,24,8,31,0,0,0,119,9968.7,8613,137.46,SIM,12081323.45,0
62,63,1997-05-18 00:00:00,26,9,41,49,25,40,0,1,13680019.57,82,16246.91,6359,209.1,NÃO,0,0
63,64,1997-05-25 00:00:00,8,54,50,60,23,12,0,0,0,29,23309.96,2441,276.38,SIM,811186.58,0
64,65,1997-06-01 00:00:00,20,1,5,32,25,34,0,0,0,61,11542.37,4932,142.48,SIM,1656088.09,0
65,66,1997-06-08 00:00:00,15,26,12,33,48,13,0,0,0,102,8054.25,7686,106.68,SIM,2641927.81,0
66,67,1997-06-15 00:00:00,47,14,27,52,17,12,0,0,0,83,10617.25,5479,160.52,SIM,3699406.44,0
67,68,1997-06-22 00:00:00,53,13,3,1,12,59,0,0,0,49,18496.73,4758,190.11,SIM,4787014.46,0
68,69,1997-06-29 00:00:00,56,58,34,53,25,45,0,0,0,55,17271.48,3661,258.96,SIM,5926931.93,0
69,70,1997-07-06 00:00:00,40,17,23,43,27,58,0,0,0,95,12899.52,6071,201.46,SIM,14883849.29,0
70,71,1997-07-13 00:00:00,53,16,45,43,33,27,0,0,0,115,12451.74,7430,192.35,SIM,16602188.45,0
71,72,1997-07-20 00:00:00,19,48,43,1,34,44,0,0,0,85,19676.33,7982,209.13,SIM,18609174.26,0
72,73,1997-07-27 00:00:00,57,25,45,28,51,26,0,1,21026575.4,95,21205.27,8222,244.52,NÃO,0,0
73,74,1997-08-03 00:00:00,2,24,34,50,38,37,0,0,0,40,18257.68,3321,219.48,SIM,876368.71,0
74,75,1997-08-10 00:00:00,36,49,37,35,24,21,0,0,0,70,12395.02,5032,172.09,SIM,1917550.02,0
75,76,1997-08-17 00:00:00,33,18,23,8,17,53,0,0,0,92,10247.61,6399,147.04,SIM,3048886.14,0
76,77,1997-08-24 00:00:00,29,54,40,57,49,21,0,0,0,20,49648.81,2635,376.09,SIM,4240457.6,0
77,78,1997-08-31 00:00:00,22,32,46,12,25,31,0,0,0,103,9907.36,5984,170.19,SIM,5465006.39,0
78,79,1997-09-07 00:00:00,43,25,2,13,31,17,0,1,6770601.75,247,4404.85,13375,81.18,NÃO,0,0
79,80,1997-09-14 00:00:00,51,40,37,23,48,28,0,0,0,43,26443,4284,264.89,SIM,10953707.53,0
80,81,1997-09-21 00:00:00,47,41,10,60,54,23,0,0,0,62,19453.15,4870,247.17,SIM,12401021.68,0
81,82,1997-09-28 00:00:00,51,36,53,29,18,15,0,1,13877826.02,77,15982.73,5889,208.57,NÃO,0,0
82,83,1997-10-05 00:00:00,24,16,4,42,57,15,0,0,0,76,9408.43,4756,150.04,SIM,858048.93,0
83,84,1997-10-12 00:00:00,10,34,4,6,25,40,0,0,0,102,7539.68,5546,138.4,SIM,1780905.8,0
84,85,1997-10-19 00:00:00,47,15,30,37,45,6,0,0,0,45,17279.25,4312,179.96,SIM,2713984.86,0
85,86,1997-10-26 00:00:00,54,21,6,34,36,22,0,0,0,48,16752.96,3752,213.9,SIM,3678955.17,0
86,87,1997-11-02 00:00:00,40,4,28,32,11,5,0,0,0,64,12696.6,5195,156.11,SIM,4654053.86,0
87,88,1997-11-09 00:00:00,45,37,29,4,43,18,0,0,0,110,7965.82,6805,128.51,SIM,5705540.99,0
88,89,1997-11-16 00:00:00,59,42,34,13,44,55,0,0,0,36,24246,3847,226.45,SIM,6752968.26,0
89,90,1997-11-23 00:00:00,21,26,40,54,9,52,0,1,15764300.87,74,18584.49,4763,288.17,NÃO,0,0
90,91,1997-11-30 00:00:00,60,4,10,35,39,2,0,0,0,68,9588.8,3878,167.81,SIM,782445.93,0
91,92,1997-12-07 00:00:00,5,23,51,3,1,24,0,0,0,75,9792.64,5530,132.56,SIM,1663783.45,0
92,93,1997-12-14 00:00:00,22,53,31,28,2,36,0,0,0,61,12369.31,3795,198.44,SIM,2569217.31,0
93,94,1997-12-21 00:00:00,28,51,55,18,52,8,0,0,0,25,31457.49,2086,376.26,SIM,3512942.16,0
94,95,1997-12-28 00:00:00,46,60,6,40,50,45,0,0,0,22,30807.89,2185,309.58,SIM,4326270.55,0
95,96,1998-01-04 00:00:00,4,42,58,26,7,40,0,1,5218562.47,62,11993.17,3984,186.27,NÃO,0,0
96,97,1998-01-11 00:00:00,56,53,11,14,5,35,0,1,727932.66,56,10832.33,3441,175.94,NÃO,0,0
97,98,1998-01-18 00:00:00,43,33,14,31,35,13,0,0,0,89,6508.88,4972,116.28,SIM,695149.05,0
98,99,1998-01-25 00:00:00,30,33,24,11,46,60,0,0,0,46,14037.92,3015,213.76,SIM,1470041.96,0
99,100,1998-02-01 00:00:00,46,48,30,14,29,51,0,0,0,56,15930.48,3600,247.32,SIM,8585129.47,0
100,101,1998-02-08 00:00:00,39,1,37,31,29,18,0,0,0,52,20589.41,4653,229.64,SIM,9869908.65,0
101,102,1998-02-15 00:00:00,44,42,37,56,19,20,0,1,11336626.88,73,16743.36,6197,196.85,NÃO,0,0
102,103,1998-02-22 00:00:00,9,1,57,7,54,49,0,1,696984.24,28,20743.58,2632,220.24,NÃO,0,0
103,104,1998-03-01 00:00:00,13,1,38,21,52,4,0,0,0,37,14006.33,2588,199.85,SIM,621880.72,0
104,105,1998-03-08 00:00:00,3,13,31,43,46,49,0,0,0,55,11824.08,4875,133.14,SIM,1402269.88,0
105,106,1998-03-15 00:00:00,24,16,38,5,39,35,9795278,0,0,94,7678.27,5390,133.65,SIM,2268378.66,3000000
106,107,1998-03-22 00:00:00,2,24,52,4,16,51,0,0,0,35,21494.23,3554,211.26,SIM,3171136.01,0
107,108,1998-03-29 00:00:00,60,29,34,24,21,59,0,0,0,35,22511.72,2453,320.57,SIM,4116628.49,0
108,109,1998-04-04 00:00:00,54,13,44,49,48,1,0,0,0,39,21153.3,3881,212.15,SIM,11523677.38,0
109,110,1998-04-11 00:00:00,57,58,18,31,43,52,0,0,0,35,27771.48,3212,302.01,SIM,12690079.16,0
110,111,1998-04-18 00:00:00,52,32,4,33,25,22,0,0,0,68,18082.94,6109,200.88,SIM,14165647.19,0
111,112,1998-04-25 00:00:00,37,43,34,20,12,42,0,1,15802579.93,137,9957.01,8340,163.25,NÃO,0,0
112,113,1998-05-02 00:00:00,34,54,26,28,55,7,0,0,0,38,14269.55,2572,210.4,SIM,650691.4,0
113,114,1998-05-09 00:00:00,47,54,18,6,12,37,0,0,0,71,9626.08,4908,138.99,SIM,1470833.69,0
114,115,1998-05-16 00:00:00,6,14,24,20,4,38,0,0,0,78,9283.1,5091,141.95,SIM,2339731.79,0
115,116,1998-05-23 00:00:00,36,42,32,5,13,51,10384878,0,0,64,11956.28,5270,144.91,SIM,3257973.62,4200000
116,117,1998-05-30 00:00:00,53,42,27,20,33,25,0,0,0,36,22046.87,3822,207.26,SIM,4210398.41,0
117,118,1998-06-06 00:00:00,22,57,37,9,25,56,0,0,0,53,16052.88,4342,195.56,SIM,5231361.36,0
118,119,1998-06-13 00:00:00,47,21,1,50,36,38,0,0,0,21,38921.16,2691,303.13,SIM,13206225.91,0
119,120,1998-06-20 00:00:00,46,45,16,40,27,3,0,0,0,92,13020.97,7073,169.04,SIM,14643740.7,0
120,121,1998-06-27 00:00:00,53,41,44,2,29,55,0,0,0,45,28917,4554,285.17,SIM,16205258.33,0
121,122,1998-07-04 00:00:00,20,43,39,11,53,17,0,0,0,83,18210.45,7203,209.43,SIM,18019018.95,0
122,123,1998-07-11 00:00:00,13,42,16,32,14,26,0,0,0,176,12440.56,13159,166.06,SIM,20646465.28,0
123,124,1998-07-18 00:00:00,52,5,34,57,15,41,0,1,24536288.72,188,17242.12,14019,230.76,NÃO,0,0
124,125,1998-07-25 00:00:00,56,47,25,59,53,41,0,0,0,46,15425.68,2784,254.38,SIM,851497.47,0
125,126,1998-08-01 00:00:00,32,28,6,10,11,40,0,0,0,83,10052.56,5510,151.13,SIM,1852731.83,0
126,127,1998-08-08 00:00:00,59,21,51,54,29,50,0,0,0,40,23638.47,2613,361.14,SIM,2987378.17,0
127,128,1998-08-15 00:00:00,23,43,3,21,9,18,0,0,0,973,1024.41,11715,84.91,SIM,4183483.5,0
128,129,1998-08-22 00:00:00,46,54,10,9,1,32,0,0,0,67,15634.41,5320,196.51,SIM,5440490,0
129,130,1998-08-29 00:00:00,13,42,38,49,53,29,0,0,0,155,11796.24,11403,160.03,SIM,18814958.31,0
130,131,1998-09-05 00:00:00,30,9,17,27,4,44,0,0,0,361,6811.67,21683,113.19,SIM,21765774.49,0
131,132,1998-09-12 00:00:00,44,35,50,41,9,7,0,0,0,143,20846.64,12179,244.29,SIM,25343057.89,0
132,133,1998-09-19 00:00:00,19,57,6,39,34,5,0,1,30533241.12,431,10035.16,29264,147.51,NÃO,0,0
133,134,1998-09-26 00:00:00,60,32,25,36,52,4,0,0,0,82,10253.38,4575,183.42,SIM,1008932.39,0
134,135,1998-10-03 00:00:00,35,40,21,59,53,22,0,0,0,40,24573.18,3604,272.19,SIM,2188444.72,0
135,136,1998-10-10 00:00:00,17,25,45,38,1,59,0,0,0,126,8435.36,7403,143.29,SIM,3463871.17,0
136,137,1998-10-17 00:00:00,26,15,16,22,19,49,0,0,0,88,12675.49,6701,166.13,SIM,4802402.93,0
137,138,1998-10-24 00:00:00,41,14,37,5,40,27,0,0,0,86,14074.36,6953,173.74,SIM,6254876.8,0
138,139,1998-10-31 00:00:00,26,27,13,42,41,3,0,2,3902486.14,179,7216.46,9401,137.14,NÃO,0,0
139,140,1998-11-07 00:00:00,55,31,46,44,41,7,0,0,0,45,36581.33,4945,332.24,SIM,16453628.31,0
140,141,1998-11-14 00:00:00,10,22,42,13,41,58,0,0,0,119,20106.1,10533,226.7,SIM,19324778.9,0
141,142,1998-11-21 00:00:00,20,59,19,54,15,8,0,0,0,162,18143.56,13991,209.66,SIM,22851887.24,0
142,143,1998-11-28 00:00:00,40,18,6,20,50,53,0,0,0,144,24792.99,10994,324.1,SIM,27136115.88,0
143,144,1998-12-05 00:00:00,8,32,44,36,45,55,0,1,33597755.21,257,20952.14,23952,224.38,NÃO,0,0
144,145,1998-12-12 00:00:00,43,15,41,51,16,31,0,0,0,71,15061.27,3389,314.91,SIM,1283220.59,0
145,146,1998-12-19 00:00:00,51,34,25,60,42,32,0,0,0,51,23923.45,4079,298.52,SIM,2747335.81,0
146,147,1998-12-24 00:00:00,24,6,38,23,28,16,0,1,3805750.38,75,11760.17,5418,162.48,NÃO,0,0
147,148,1998-12-31 00:00:00,32,55,59,41,58,35,0,0,0,15,53660.04,2322,345.95,SIM,965880.61,0
148,149,1999-01-09 00:00:00,11,45,48,7,28,20,0,0,0,106,9795.13,6290,164.74,SIM,2211820.94,0
149,150,1999-01-16 00:00:00,50,44,12,55,52,54,0,0,0,56,36378.71,5540,367,SIM,21414530.14,0
150,151,1999-01-23 00:00:00,3,43,16,56,52,20,0,1,24091811.02,152,14678.07,9869,225.62,NÃO,0,0
151,152,1999-01-30 00:00:00,12,5,15,51,58,29,0,0,0,75,11562.39,5041,172.03,SIM,1040614.8,0
152,153,1999-02-06 00:00:00,47,2,31,42,45,30,0,0,0,47,22846.45,4218,254.57,SIM,2329154.62,0
153,154,1999-02-13 00:00:00,8,10,24,33,45,48,0,0,0,144,7888.29,9252,122.78,SIM,3692251.6,0
154,155,1999-02-20 00:00:00,12,32,44,43,35,30,0,1,4988808.21,67,16126.32,4974,217.22,NÃO,0,0
155,156,1999-02-27 00:00:00,52,23,42,17,55,49,0,0,0,74,11018.1,4455,183.02,SIM,978407.41,0
156,157,1999-03-06 00:00:00,17,13,4,44,41,21,0,1,2140030.92,134,7224.03,8894,108.84,NÃO,0,0
157,158,1999-03-13 00:00:00,58,43,51,14,17,4,0,0,0,31,25856.53,3630,220.81,SIM,961863.12,0
158,159,1999-03-20 00:00:00,16,9,50,58,11,35,0,1,2038170.67,57,15735.49,4124,217.49,NÃO,0,0
159,160,1999-03-27 00:00:00,13,42,52,58,2,54,0,0,0,74,19431.89,6132,234.5,SIM,11251511.63,0
160,161,1999-04-03 00:00:00,25,37,30,39,6,41,0,0,0,95,14430.61,6865,199.69,SIM,12896601.04,0
161,162,1999-04-10 00:00:00,23,33,51,38,48,21,0,0,0,92,20941.3,7244,265.96,SIM,15208520.83,0
162,163,1999-04-17 00:00:00,41,56,27,36,53,8,0,2,8975833.36,146,15657.23,10793,211.8,NÃO,0,0
163,164,1999-04-24 00:00:00,4,19,14,10,44,28,0,0,0,111,7595.63,8386,100.54,SIM,1011737.9,0
164,165,1999-05-01 00:00:00,39,56,19,23,10,35,0,2,1044444.54,75,11968.35,5378,166.91,NÃO,0,0
165,166,1999-05-08 00:00:00,60,57,59,13,12,22,0,0,0,47,17424.67,3371,242.95,SIM,982751.54,0
166,167,1999-05-15 00:00:00,1,38,48,28,11,33,0,1,2100980.21,82,11364.11,4997,186.48,NÃO,0,0
167,168,1999-05-22 00:00:00,45,2,35,9,50,31,0,0,0,48,15743.7,3528,214.2,SIM,906836.93,0
168,169,1999-05-29 00:00:00,52,51,37,13,21,1,0,0,0,65,13679.08,4489,198.07,SIM,1973804.91,0
169,170,1999-06-05 00:00:00,7,51,55,41,58,46,0,0,0,50,32383.95,6257,258.78,SIM,13643095.71,0
170,171,1999-06-12 00:00:00,54,27,4,43,40,46,0,1,16052410.83,134,14983.3,10378,193.46,NÃO,0,0
171,172,1999-06-19 00:00:00,49,36,14,26,35,10,0,0,0,64,13460.12,4592,186.89,SIM,1033736.7,0
172,173,1999-06-26 00:00:00,29,28,49,17,42,50,0,1,2148316.42,40,23220.41,3610,256.32,NÃO,0,0
173,174,1999-07-03 00:00:00,11,52,22,23,36,59,0,0,0,44,17846.85,3217,243.18,SIM,942313.58,0
174,175,1999-07-10 00:00:00,10,20,13,1,42,50,0,0,0,114,8094.08,7058,130.25,SIM,2049582.99,0
175,176,1999-07-17 00:00:00,28,4,1,45,53,3,0,0,0,62,16696.39,5405,190.8,SIM,3291794.61,0
176,177,1999-07-24 00:00:00,35,22,39,41,59,38,0,0,0,52,21716.29,4408,255.21,SIM,4646890.81,0
177,178,1999-07-31 00:00:00,5,27,19,26,15,33,0,1,6129539.43,198,6240.11,13086,94.07,NÃO,0,0
178,179,1999-08-07 00:00:00,6,53,5,26,27,23,0,0,0,78,10281.59,5646,141.51,SIM,962357.04,0
179,180,1999-08-14 00:00:00,39,6,29,60,51,23,0,0,0,111,15907.98,6978,252.09,SIM,12143009.93,0
180,181,1999-08-21 00:00:00,33,1,55,35,51,27,0,0,0,182,11127.07,11797,171.02,SIM,14573162.71,0
181,182,1999-08-28 00:00:00,46,60,5,10,28,3,0,0,0,239,9954.78,17413,136.13,SIM,17428194.22,0
182,183,1999-09-04 00:00:00,16,11,7,40,44,2,0,0,0,306,9468.79,20677,139.6,SIM,20905131.4,0
183,184,1999-09-11 00:00:00,9,60,21,16,41,34,0,0,0,217,14699.97,15462,205.53,SIM,24733003.15,0
184,185,1999-09-18 00:00:00,59,17,22,46,43,55,0,0,0,366,12275.86,24849,180.13,SIM,30124561.09,0
185,186,1999-09-25 00:00:00,24,26,51,25,14,23,0,0,0,352,17072.24,31164,192.1,SIM,37335874.86,0
186,187,1999-10-02 00:00:00,6,44,58,41,36,48,0,0,0,397,23058.35,39365,231.66,SIM,48320873.6,0
187,188,1999-10-10 00:00:00,34,42,43,46,27,17,0,1,64905517.65,1200,11517.11,90235,152.58,NÃO,0,0
188,189,1999-10-16 00:00:00,41,53,38,4,31,15,0,0,0,61,23476.18,5485,260.09,SIM,1718456.25,0
189,190,1999-10-24 00:00:00,32,40,42,21,10,5,0,0,0,304,14923.96,21481,210.41,SIM,44895988.05,0
190,191,1999-10-31 00:00:00,58,5,41,3,1,23,0,1,50968412.58,383,13212.41,30477,165.41,NÃO,0,0
191,192,1999-11-06 00:00:00,1,60,26,41,28,54,0,0,0,53,23005.08,4403,275.87,SIM,1463122.78,0
192,193,1999-11-13 00:00:00,12,4,11,49,43,19,0,0,0,190,7199.87,11415,119.39,SIM,3104692.58,0
193,194,1999-11-20 00:00:00,32,42,43,25,28,33,0,0,0,106,12862.4,7456,182.18,SIM,4740789.92,0
194,195,1999-11-27 00:00:00,17,3,44,37,9,32,0,1,6370250.64,339,4005.56,13819,97.89,NÃO,0,0
195,196,1999-12-04 00:00:00,32,17,9,14,24,7,0,0,0,182,5309.16,10493,91.75,SIM,1159520.95,0
196,197,1999-12-11 00:00:00,19,52,29,15,12,5,0,0,0,128,8259.15,8720,120.78,SIM,2428125.98,0
197,198,1999-12-18 00:00:00,40,23,1,18,35,8,0,0,0,125,8881.02,7134,155.02,SIM,3760278.08,0
198,199,1999-12-24 00:00:00,52,37,57,16,10,50,0,1,4915593.2,34,28316.55,3143,305.16,NÃO,0,0
199,200,1999-12-31 00:00:00,12,15,44,34,51,19,0,2,8829389.2,186,11008.48,13027,156.59,NÃO,0,0
200,201,2000-01-08 00:00:00,55,22,5,30,35,20,0,1,1038373.94,77,11237.81,4502,191.48,NÃO,0,0
201,202,2000-01-15 00:00:00,49,53,44,12,24,45,0,0,0,65,12412.65,4279,187.85,SIM,968186.82,0
202,203,2000-01-22 00:00:00,11,55,44,19,29,47,0,0,0,63,14099.33,5417,163.36,SIM,2034096.14,0
203,204,2000-01-29 00:00:00,31,41,51,39,58,29,0,0,0,32,30221.85,2400,401.43,SIM,3194615.19,0
204,205,2000-02-05 00:00:00,26,32,54,43,46,40,0,1,4490339.49,71,15208.03,6014,178.86,NÃO,0,0
205,206,2000-02-12 00:00:00,20,26,56,18,34,51,0,0,0,43,17769.34,3478,218.86,SIM,916897.74,0
206,207,2000-02-19 00:00:00,19,7,3,55,24,53,0,0,0,90,9663.76,6510,133.1,SIM,1960583.04,0
207,208,2000-02-26 00:00:00,23,15,57,24,47,25,0,0,0,72,12679.18,5232,173.83,SIM,3056064.34,0
208,209,2000-03-04 00:00:00,13,52,32,41,21,26,0,0,0,81,12349.82,5496,181.32,SIM,4256466.94,0
209,210,2000-03-11 00:00:00,37,58,20,38,48,32,0,0,0,29,46721.17,3921,344.24,SIM,14043878.83,0
210,211,2000-03-18 00:00:00,10,20,40,45,50,33,0,0,0,164,10880.27,16680,106.58,SIM,16185115.03,0
211,212,2000-03-25 00:00:00,29,57,15,45,59,6,0,0,0,147,13318.79,9880,197.42,SIM,18534548.53,0
212,213,2000-04-01 00:00:00,3,30,9,35,23,32,0,3,7089194.54,312,7299.77,18348,123.66,NÃO,0,0
213,214,2000-04-08 00:00:00,30,12,6,50,35,31,0,0,0,54,15578.04,3769,222.35,SIM,1009456.63,0
214,215,2000-04-15 00:00:00,7,58,28,53,37,46,0,0,0,78,12078.4,4942,189.92,SIM,2139994.41,0
215,216,2000-04-22 00:00:00,35,42,59,18,30,14,0,4,801057.55,91,9745.75,5049,175,NÃO,0,0
216,217,2000-04-29 00:00:00,27,32,3,51,49,45,0,0,0,159,4599.62,5820,125.19,SIM,877607.32,0
217,218,2000-05-06 00:00:00,54,40,42,17,47,12,0,1,1878255.09,95,8777.61,4679,177.55,NÃO,0,0
218,219,2000-05-13 00:00:00,26,23,49,28,42,36,0,0,0,80,9221.78,5139,143.02,SIM,885291.29,0
219,220,2000-05-20 00:00:00,36,53,55,13,60,14,0,1,12636751.12,125,12488.05,8067,192.78,NÃO,0,0
220,221,2000-05-27 00:00:00,54,13,58,43,50,27,0,0,0,49,14565.66,3793,187.45,SIM,856460.89,0
221,222,2000-06-03 00:00:00,5,48,30,55,52,19,0,0,0,55,15243.16,4462,187.18,SIM,1862509.6,0
222,223,2000-06-10 00:00:00,28,24,22,2,58,6,0,0,0,163,5838.31,7780,121.86,SIM,3004483.21,0
223,224,2000-06-17 00:00:00,20,16,18,7,44,21,0,0,0,119,8706.35,7185,143.77,SIM,4247750.04,0
